image_ID,score,Y Top,X min,Y bottom,X max,Width,Height,copyright,date,location,pano_id,status,url
gsv_1476.jpg,0.766006588935852,64,117,622,360,243,558,© Google,2019-08-01,"{'lat': 41.92782061911055, 'lng': -87.68447967388259}",0v3MbZ6USjELrVbRO96hiA,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=0v3MbZ6USjELrVbRO96hiA&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_1521.jpg,0.9287894368171692,257,236,329,253,17,72,© Google,2019-08-01,"{'lat': 41.927790299889, 'lng': -87.68142669731736}",7e-gxtSA8VxrhzZKfBsn9g,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=7e-gxtSA8VxrhzZKfBsn9g&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_1521.jpg,0.9174866676330566,168,374,341,416,42,173,© Google,2019-08-01,"{'lat': 41.927790299889, 'lng': -87.68142669731736}",7e-gxtSA8VxrhzZKfBsn9g,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=7e-gxtSA8VxrhzZKfBsn9g&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_1521.jpg,0.7135980725288391,182,300,360,356,56,178,© Google,2019-08-01,"{'lat': 41.927790299889, 'lng': -87.68142669731736}",7e-gxtSA8VxrhzZKfBsn9g,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=7e-gxtSA8VxrhzZKfBsn9g&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_1520.jpg,0.9914822578430176,102,293,361,370,77,259,© Google,2019-08-01,"{'lat': 41.927790299889, 'lng': -87.68142669731736}",7e-gxtSA8VxrhzZKfBsn9g,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=7e-gxtSA8VxrhzZKfBsn9g&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_1520.jpg,0.9832524061203003,56,415,353,484,69,297,© Google,2019-08-01,"{'lat': 41.927790299889, 'lng': -87.68142669731736}",7e-gxtSA8VxrhzZKfBsn9g,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=7e-gxtSA8VxrhzZKfBsn9g&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_1520.jpg,0.9762351512908936,210,163,357,224,61,147,© Google,2019-08-01,"{'lat': 41.927790299889, 'lng': -87.68142669731736}",7e-gxtSA8VxrhzZKfBsn9g,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=7e-gxtSA8VxrhzZKfBsn9g&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_1520.jpg,0.8881251811981201,57,433,366,453,20,309,© Google,2019-08-01,"{'lat': 41.927790299889, 'lng': -87.68142669731736}",7e-gxtSA8VxrhzZKfBsn9g,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=7e-gxtSA8VxrhzZKfBsn9g&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_1520.jpg,0.7997612953186035,258,489,339,516,27,81,© Google,2019-08-01,"{'lat': 41.927790299889, 'lng': -87.68142669731736}",7e-gxtSA8VxrhzZKfBsn9g,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=7e-gxtSA8VxrhzZKfBsn9g&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_1533.jpg,0.900109589099884,232,554,302,572,18,70,© Google,2018-07-01,"{'lat': 41.92765967470906, 'lng': -87.68075273647803}",gxgnqxXuzfwBtaZaZ362gg,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=gxgnqxXuzfwBtaZaZ362gg&heading=0&pitch=0&fov=120&key=Your_API_key
